Fund Screening North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Base Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grouped by: IA Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated on: 06/06/2023 09:46:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exported on: 06/06/2023 10:08:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Up Capture Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down Capture Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abrdn Lothian North American Tr A,GB0008396680,North America,"154,553.28",207.12,No,No,84.00,90.23,87.59,88.48,93.38,89.78,85.93,92.66,93.11,93.11,93.11,94.44,94.44,100.52,104.84,105.60,101.67,99.67,100.69,97.78,102.77,102.77,102.77,100.47,99.29,93.95,90.35,95.08,96.89,98.34,101.50,105.00,102.10,102.10,97.48,102.58,107.96,107.96,113.36,110.63,111.36,111.36,113.69,94.32,97.54,97.54,94.80,83.15,76.03,105.41,105.41,99.82,99.77,99.77,92.16,92.16,92.16,88.88,87.54,82.39,82.39,65.00,65.00,79.69,72.11,72.11,75.21,75.21,80.53,82.55,86.57,94.68,94.68,96.08,96.51,96.31,232.36,232.36,187.51,187.51,165.84,165.84,124.88,106.39,106.39,106.39,101.77,97.91,97.91,92.09,100.60,96.84,96.84,96.84,93.75,93.75,93.75,82.84
abrdn North American S&M-Cap Eq P1 Acc,GB00B7JCD629,North America,"143,422.77",210.49,No,No,70.36,89.71,90.07,89.69,95.79,88.43,84.58,95.85,102.54,102.54,102.54,103.26,103.26,100.58,101.39,103.29,102.04,96.09,96.11,91.00,89.65,89.65,89.65,90.67,87.01,83.37,82.22,86.66,86.43,90.36,97.23,99.85,106.30,106.30,100.51,99.42,105.29,105.29,107.85,104.44,101.52,101.52,100.60,88.24,87.17,87.17,83.64,73.18,69.84,115.29,115.29,105.87,107.13,107.13,95.27,95.27,95.27,89.79,89.10,81.54,81.54,83.78,83.78,90.23,80.65,80.65,87.44,87.44,92.52,97.88,97.27,103.96,103.96,99.03,101.05,102.92,243.34,243.34,190.22,190.22,169.26,169.26,143.86,117.68,117.68,117.68,110.14,106.75,106.75,102.64,108.49,101.80,101.80,101.80,93.93,93.93,93.93,82.99
Alger American Asset Growth I EUH,LU1339879246,North America,"196,960.48",292.32,No,No,112.18,85.06,82.29,85.23,93.65,96.23,105.85,95.16,93.78,84.05,84.05,83.42,89.46,90.09,94.49,91.25,95.91,107.85,109.92,149.44,153.23,167.00,167.00,166.96,162.48,157.20,149.55,129.62,146.08,137.03,124.53,105.83,94.71,94.71,100.11,89.09,72.93,78.43,79.61,85.88,70.66,70.66,59.88,73.73,70.05,70.05,51.99,58.22,72.43,113.11,113.11,109.12,117.90,117.90,119.04,119.04,119.04,117.50,117.50,83.63,83.63,79.56,79.56,72.11,72.52,72.52,61.00,61.00,61.00,58.04,70.94,91.11,91.11,91.11,91.11,105.66,243.86,243.86,219.69,219.69,219.69,219.69,226.42,213.66,213.66,213.66,202.99,191.66,191.66,250.30,237.57,212.91,212.91,216.79,201.85,201.85,192.51,175.10
Alger Focus Equity I3 US,LU1933943026,North America,"168,796.02",296.12,No,No,,,,,,,,,,,,,,,,113.07,112.65,121.38,130.72,134.71,136.00,143.33,143.19,132.06,126.83,118.70,117.19,111.67,113.50,101.88,102.74,97.04,89.97,89.97,95.84,100.17,89.54,94.35,94.37,93.35,82.52,90.37,70.39,97.31,94.14,94.14,71.87,73.06,87.12,,,,,,,,,,,,,,,,72.32,72.32,62.59,62.59,62.59,65.99,72.66,77.68,77.68,77.68,77.68,86.55,126.79,126.79,126.79,126.79,126.79,126.79,138.10,132.65,115.52,115.52,134.78,138.40,138.40,149.20,152.88,141.13,141.13,140.47,135.27,135.27,137.56,143.01
Allianz Best Styles US Equity AT EUR,LU0933100637,North America,"146,824.64",173.05,No,No,89.53,89.41,90.70,90.87,88.53,85.90,86.86,86.67,84.47,87.36,87.36,92.11,93.07,100.44,100.84,101.41,101.50,95.74,92.73,93.62,95.75,94.01,94.01,90.48,86.06,88.97,86.14,90.99,88.48,93.77,96.27,95.21,96.28,96.28,92.08,103.21,111.49,105.90,111.39,115.32,117.04,117.04,126.11,116.76,115.50,115.50,118.92,109.23,103.85,95.94,95.94,98.89,90.66,90.66,93.90,93.90,93.90,97.41,97.41,92.34,92.34,95.78,95.78,112.48,98.80,98.80,97.68,97.68,97.68,94.24,100.02,105.54,105.54,105.54,105.54,93.58,148.15,148.15,124.73,124.73,124.73,124.73,65.79,48.68,48.68,48.68,94.09,99.68,99.68,94.35,100.99,102.68,102.68,99.74,106.01,106.01,113.49,107.89
Allspring (Lux) WW US Sel Eq ZUSDDist,LU1169589964,North America,"6,188.10",173.66,No,No,74.02,104.83,101.94,94.02,94.55,91.43,99.68,90.37,100.87,102.99,101.36,103.20,107.63,76.19,74.66,82.77,105.77,114.46,122.76,124.32,119.60,117.63,119.79,129.69,137.97,158.36,162.43,160.46,159.60,158.17,151.02,154.07,157.14,157.14,146.60,145.44,112.91,98.09,82.71,76.66,62.49,57.66,51.12,71.23,74.99,74.99,87.99,97.67,110.53,94.28,94.28,104.92,134.68,134.68,139.86,139.86,139.86,155.96,155.96,162.98,162.98,198.60,198.60,157.79,192.29,192.29,200.21,200.21,200.21,188.05,187.37,164.76,164.76,164.76,164.76,188.37,47.83,47.83,47.83,47.83,47.83,47.83,-27.88,50.89,132.73,132.73,108.56,84.95,84.95,102.44,97.37,102.84,102.84,94.51,98.17,98.17,88.55,96.74
Allspring (Lux) WW USAllCpGr Z GBP Acc,LU0851225416,North America,"107,773.21",295.45,No,No,130.53,123.62,128.15,128.83,141.81,136.25,133.49,130.46,126.35,126.35,126.35,130.91,130.91,135.21,131.12,130.49,133.88,143.16,150.70,164.26,155.18,155.18,155.18,146.49,149.45,144.18,144.42,119.47,113.23,96.73,111.24,112.31,112.90,112.90,113.29,93.01,72.41,72.41,68.72,91.79,82.91,82.91,47.51,71.55,59.70,59.70,42.10,57.33,74.16,95.43,95.43,107.23,123.91,123.91,117.31,117.31,117.31,111.66,120.26,112.44,112.44,137.37,137.37,104.20,107.63,107.63,111.26,111.26,102.19,106.31,90.96,82.28,82.28,75.90,81.67,90.92,6.68,6.68,151.13,151.13,200.17,200.17,191.80,248.71,248.71,248.71,211.54,200.80,200.80,215.33,203.73,177.95,177.95,177.95,172.35,172.35,172.35,165.08
Allspring (Lux) WW USLrgCpGr ZGBP Acc,LU0851225689,North America,"159,194.44",299.85,No,No,143.29,124.25,119.65,126.54,127.39,123.07,116.98,117.91,118.70,118.70,118.70,115.48,115.48,122.20,127.47,118.39,121.02,124.85,128.31,131.46,122.38,122.38,122.38,114.70,114.13,107.86,102.41,93.10,91.07,79.25,91.54,99.00,107.97,107.97,117.24,108.07,102.72,102.72,109.61,120.76,118.47,118.47,103.25,108.17,101.26,101.26,73.46,86.43,92.66,96.02,96.02,99.45,106.81,106.81,90.12,90.12,90.12,81.02,94.38,77.28,77.28,78.51,78.51,62.39,67.49,67.49,76.84,76.84,73.36,80.83,63.57,65.97,65.97,62.00,71.38,86.99,131.77,131.77,181.93,181.93,204.85,204.85,187.81,206.09,206.09,206.09,181.98,173.80,173.80,194.85,202.03,173.79,173.79,173.79,172.41,172.41,172.41,159.41
Amundi IS MSCI North America AHE-C,LU1049757120,North America,"160,255.94",,Yes,No,76.30,70.45,69.52,69.89,78.14,85.54,96.15,82.67,84.70,85.03,85.03,82.87,88.95,77.21,79.62,79.90,86.31,93.95,88.59,119.28,120.59,123.04,123.04,133.13,132.86,135.68,131.57,121.80,137.51,133.41,118.25,103.54,98.39,98.39,101.99,86.20,81.93,87.89,87.98,91.23,81.12,81.12,89.03,84.27,83.53,83.53,82.97,93.31,89.00,113.20,113.20,100.72,109.90,109.90,113.40,113.40,113.40,113.45,113.45,97.99,97.99,94.97,94.97,93.90,103.41,103.41,98.72,98.72,98.72,97.54,106.72,119.87,119.87,119.87,119.87,135.69,221.40,221.40,155.85,155.85,155.85,155.85,152.79,128.09,128.09,128.09,108.79,115.90,115.90,152.32,140.64,142.02,142.02,148.89,145.14,145.14,127.31,118.95
Amundi IS S&P 500 ESG Index A4E Acc,LU0996179262,North America,"274,199.22",,Yes,No,99.86,99.18,96.94,101.66,105.27,104.45,106.78,99.41,100.24,102.47,102.47,100.86,102.60,99.34,102.17,95.82,97.08,98.77,96.05,98.05,98.97,95.59,95.59,93.85,87.35,90.69,89.33,95.33,96.75,94.82,97.78,100.14,101.21,101.21,108.20,118.89,123.05,123.72,129.07,124.21,125.74,125.74,127.50,119.51,119.70,119.70,115.10,109.92,111.90,96.22,96.22,94.28,97.54,97.54,101.23,101.23,101.23,96.29,96.29,101.47,101.47,93.27,93.27,88.38,94.90,94.90,90.92,90.92,90.92,95.39,96.22,99.24,99.24,99.24,99.24,107.92,127.42,127.42,128.38,128.38,128.38,128.38,134.38,126.28,126.28,126.28,85.27,95.31,95.31,101.87,90.31,91.70,91.70,97.24,98.54,98.54,93.54,100.79
Artemis US Extended Alpha I Acc GBP,GB00BMMV5G59,North America,"79,643.35",204.40,No,No,105.54,92.87,92.19,93.34,95.54,92.99,95.24,97.38,93.91,93.91,93.91,92.22,92.22,109.24,111.92,112.59,101.36,94.37,90.78,84.52,88.87,88.87,88.87,89.55,88.43,81.92,81.85,84.43,82.93,87.54,90.21,89.53,89.36,89.36,90.04,87.95,91.30,91.30,91.86,94.20,98.13,98.13,104.02,96.45,99.39,99.39,96.70,85.98,82.92,84.01,84.01,89.07,81.01,81.01,77.05,77.05,77.05,68.08,76.52,74.78,74.78,76.48,76.48,94.56,78.34,78.34,81.28,81.28,78.69,88.14,79.72,83.08,83.08,82.47,82.44,63.56,103.62,103.62,103.77,103.77,118.18,118.18,83.42,64.38,64.38,64.38,84.44,80.93,80.93,78.05,83.18,90.35,90.35,90.35,93.51,93.51,93.51,83.19
Artemis US Select I Acc GBP,GB00BMMV5105,North America,"110,741.10",221.32,No,No,116.85,106.65,111.12,111.14,110.80,110.82,112.69,116.79,113.84,113.84,113.84,108.38,108.38,124.96,121.71,122.95,108.69,105.31,101.42,94.93,91.77,91.77,91.77,83.83,85.56,77.91,83.49,84.88,85.74,84.66,89.80,87.36,92.52,92.52,89.85,97.41,98.36,98.36,91.96,100.43,99.15,99.15,103.22,100.46,105.97,105.97,102.90,82.67,77.90,95.42,95.42,104.96,107.91,107.91,99.50,99.50,99.50,86.16,97.00,91.85,91.85,87.06,87.06,101.77,85.83,85.83,90.26,90.26,86.30,98.60,78.61,78.82,78.82,80.52,88.01,70.45,106.43,106.43,107.74,107.74,129.00,129.00,133.11,135.01,135.01,135.01,137.49,125.49,125.49,125.68,128.04,124.89,124.89,124.89,116.40,116.40,116.40,104.68
Artisan US Focus Fund I USD Acc,IE00BD5JHZ64,North America,"139,019.61",233.56,No,No,,,,,,,,,,,,,90.12,95.21,92.21,80.73,73.41,80.03,85.24,88.21,85.41,91.18,90.96,103.41,100.58,95.37,102.26,95.65,100.25,97.87,91.52,94.98,102.76,102.76,107.75,98.30,105.91,117.30,106.00,125.04,136.93,136.86,146.74,118.85,117.13,117.13,99.85,100.19,94.75,,,,,,,,,,,,,25.92,25.92,39.65,57.54,57.54,54.14,54.14,54.14,69.95,69.66,80.51,80.51,80.51,80.51,96.08,124.98,124.98,124.98,124.98,124.98,124.98,159.56,126.60,115.19,115.19,140.39,146.83,146.83,127.78,135.31,114.98,114.98,114.84,110.57,110.57,111.59,111.77
Artisan US Value Equity I USD Acc,IE00B8DGGQ84,North America,"101,826.34",99.56,No,No,72.25,83.70,77.85,78.45,87.72,85.79,91.50,89.95,94.67,103.75,103.64,108.87,109.22,85.22,91.67,91.27,86.46,90.88,83.33,82.87,88.24,82.85,81.76,95.67,97.71,102.08,116.30,118.23,122.51,129.07,123.50,128.89,127.23,127.23,120.70,114.87,116.71,130.89,105.65,90.13,90.40,75.11,87.76,80.02,80.64,80.64,108.05,113.08,107.50,117.26,117.26,104.74,107.91,107.91,117.52,117.52,117.52,117.62,117.62,127.97,127.97,137.16,137.16,110.51,136.60,136.60,134.36,134.36,134.36,135.85,132.80,129.70,129.70,129.70,129.70,153.01,99.85,99.85,99.85,99.85,99.85,99.85,95.20,102.07,159.21,159.21,58.33,64.77,64.77,70.37,51.90,73.44,73.44,72.28,77.50,77.50,68.79,73.99
ASIMT American Eq Uncons Inst S Acc,GB00BYPF2P60,North America,"142,865.71",210.24,No,No,70.72,90.19,90.45,89.92,95.55,88.13,84.83,96.83,103.47,103.47,103.47,104.45,104.45,101.94,102.97,105.24,103.41,97.35,97.45,91.50,90.08,90.08,90.08,91.07,87.48,84.04,82.80,87.36,87.62,91.65,98.46,101.32,107.98,107.98,102.40,101.49,108.00,108.00,110.76,108.06,105.59,105.59,105.08,91.60,91.20,91.20,86.91,76.55,72.41,114.68,114.68,106.42,107.42,107.42,94.84,94.84,94.84,89.23,88.36,82.00,82.00,83.48,83.48,89.15,79.74,79.74,87.00,87.00,91.34,96.74,96.50,101.95,101.95,97.12,99.06,100.91,236.15,236.15,186.55,186.55,169.23,169.23,141.82,116.77,116.77,116.77,109.59,105.87,105.87,101.17,106.64,99.36,99.36,99.36,91.29,91.29,91.29,80.44
